BA4069,LHR,0449,HYD,1334,525
TK4840,IST,1022,NRT,2031,621
UA4674,BNA,0359,IAD,0513,89
CZ5161,SHE,1723,CGO,1849,89
CZ0699,DLC,1523,PVG,1631,99
BA7644,LED,0711,LHR,0949,138
QF3627,OOL,1521,ISA,1708,100
CZ9108,TOY,1657,DLC,1840,107
KL9126,CGN,0308,AMS,0341,37
BA3142,FAO,1433,LGW,1651,136
DL8985,YUL,2022,DTW,2123,65
AF9285,EBB,1201,AMS,1945,372
UA6519,BNA,0134,IAH,0256,106
DL3616,ESC,0347,DTW,0425,45
UA4359,ORD,1747,LAS,2041,194
KL0808,AMS,0755,EDI,0848,58
TK6431,IST,0226,NSI,0758,267
CZ1038,WUX,1454,CAN,1633,75
DL9111,MSP,2010,LEX,2129,99
DL5073,SAT,0054,ATL,0234,119
NH9253,HND,1807,ISG,2030,179
BA3367,MSY,1959,ORD,2140,105
UA1970,ORD,0634,LAX,0932,185
KL5020,CLT,0014,ATL,0056,56
UA2951,RDM,1609,SFO,1708,69
UA3462,YYZ,2001,BOS,2050,81
NH2691,HND,0603,ITM,0644,38
LH9682,MUC,1431,NCE,1520,67
NH5573,LAX,2350,HND,0838,550
AF4504,SFO,1151,HNL,1642,281
CZ5998,CGO,0831,HAK,1047,112
UA9227,DEN,0006,MOT,0113,78
UA8298,EWR,0718,MIA,0910,109
BA1422,LHR,0413,YYZ,1043,357
DL9666,BJX,0953,ATL,1232,135
DL8181,GFK,1630,MSP,1712,40
JJ7518,LDB,1250,GRU,1332,51
KL9912,ATL,1911,FCO,0350,520
DL7094,SJO,1612,LAX,2118,283
DL4282,TPE,1904,SFO,0736,675
CX5638,SHA,2248,HKG,0018,98
AF2584,PVD,1838,ATL,2037,103
DL9553,GRB,0724,MSP,0805,53
AF2200,MAD,2338,ORY,0047,105
AF4068,SJD,0141,ATL,0441,186
AF1670,CDG,1342,LOS,1852,276
BA9117,BLL,1630,DUS,1712,42
AF9886,FNT,0712,ATL,0830,76
DL4354,IMT,1958,MSP,2041,42
UA9695,BOI,1013,DEN,1140,110
LH6284,ZNZ,1545,JRO,1621,61
BA1017,VNO,0159,HEL,0254,72
CZ1703,NNY,0255,CTU,0355,80
LH1484,DUS,0852,NRT,1740,680
KL9889,CWL,1204,AMS,1253,59
TK1293,IST,1418,NUE,1610,152
UA1246,BJX,1709,IAH,1838,110
KL4909,XIY,0413,DLC,0555,108
UA0225,BRU,2032,MAN,2119,81
DL0473,AUH,0531,BAH,0617,68
UA0683,EWR,0643,MHT,0717,43
NH3714,NRT,1255,KMQ,1331,57
EK1294,NCL,0714,DXB,1317,340
LH3992,CGN,1019,MUC,1104,52
UA2553,MCO,0240,DEN,0522,211
BA3584,FAO,1159,LHR,1350,97
LH6420,BCN,2203,EWR,0447,397
